TaxonomicGroup,year,value,low,high
All,1985,1.0,1.0,1.0
All,1986,0.962272323711553,0.899697978701817,1.02447532887952
All,1987,0.914151944797817,0.839025930848438,0.996211563505718
All,1988,0.871916982501969,0.784980954266166,0.966886961917812
All,1989,0.84483807134587,0.74693489271674,0.954298292417094
All,1990,0.818600143269707,0.714690925130132,0.933290541385028
All,1991,0.8273760984339,0.708733831876374,0.983778733990044
All,1992,0.868106988700005,0.722057951638215,1.04775766722766
All,1993,0.894095089727253,0.731086633112009,1.10576376536956
All,1994,0.93916933382525,0.764998262372663,1.16388154473513
All,1995,0.992811523553001,0.812700832427299,1.22104354429191
All,1996,0.926605390454426,0.719557894795997,1.19390100696369
All,1997,0.95033282321492,0.742009855812811,1.23779997623288
All,1998,0.987566112849629,0.754379499824523,1.30796011438287
All,1999,0.95349133245205,0.717504006597813,1.26129065149438
All,2000,0.974600334145078,0.717165319844413,1.32088163982404
All,2001,0.872058905331394,0.626780745659884,1.21616276682
All,2002,0.812078302093322,0.583542132522004,1.14760412869247
All,2003,0.83114950401011,0.593054629454118,1.19992868598057
All,2004,0.779276948946122,0.543852188456821,1.1213347616218
All,2005,0.756616576006126,0.52112448081496,1.10588750252998
All,2006,0.674331090930175,0.456049936898221,1.00297185655495
All,2007,0.627892145612638,0.42620004899115,0.928978104333406
All,2008,0.591115860088596,0.395703037216084,0.875184081222466
All,2009,0.563805696490205,0.376996094406394,0.839903823015407
All,2010,0.538173141620295,0.359126450741518,0.795178900550298
All,2011,0.489013186208035,0.327002014245023,0.733648779995779
All,2012,0.449887864717228,0.2964903712001,0.676801191424877
All,2013,0.441709137165055,0.291617755084201,0.677828663935565
All,2014,0.396677749420262,0.262502161357851,0.599769958799283
All,2015,0.378107949970167,0.24967966191621,0.57618895519739
All,2016,0.343917970952625,0.223263585529129,0.529615939619867
All,2017,0.293563962467871,0.18974740656291,0.452212419259421
All,2018,0.295648920732982,0.193117262799011,0.468039037267713
All,2019,0.297080114978998,0.183569518133356,0.475940537076095
All,2020,0.298175551818207,0.17902266590894,0.498391311461873
All,2021,0.323408720183553,0.173928602988061,0.565847051257052
Amphibians,1985,1.0,1.0,1.0
Amphibians,1986,0.911833716582919,0.786973169311447,0.996345894473662
Amphibians,1987,0.675204004067231,0.488743581714124,0.897046016823521
Amphibians,1988,0.549346663181659,0.368653285685267,0.775050936916912
Amphibians,1989,0.456297444676066,0.300033596978649,0.648955493194307
Amphibians,1990,0.387563764492714,0.230880481060174,0.597202343502548
Amphibians,1991,0.209844846651002,0.102105270381965,0.423201030815822
Amphibians,1992,0.201774375404777,0.0990579154608507,0.405101166437643
Amphibians,1993,0.186934242959341,0.0843952481466043,0.385650439370268
Amphibians,1994,0.13383406557803,0.0553232568827377,0.284347073122154
Amphibians,1995,0.124099588369774,0.0490737911791219,0.274391784184024
Amphibians,1996,0.0982902666108293,0.0395746573792477,0.221782357674735
Amphibians,1997,0.0881546175988003,0.0341875064952664,0.210421765630753
Amphibians,1998,0.0697306196451108,0.026988322086194,0.175531319305393
Amphibians,1999,0.0773426793490936,0.0262298760021499,0.21489561108732
Amphibians,2000,0.0778376779575903,0.0256683348486542,0.218203599976178
Amphibians,2001,0.0629816554771764,0.0200009112143182,0.173827670847987
Amphibians,2002,0.050546639680448,0.0154623097302821,0.144060324294227
Amphibians,2003,0.0475857882569117,0.0151771101655121,0.138947495841556
Amphibians,2004,0.0464532104959584,0.0147229388183795,0.141835049042619
Amphibians,2005,0.0490656039316863,0.0152106382745226,0.14887845748569
Amphibians,2006,0.0437841760533984,0.0133873326989735,0.134003160650801
Amphibians,2007,0.041397241938451,0.0119592685043372,0.128840623366427
Amphibians,2008,0.0409429886601143,0.0117895472740863,0.126482215273434
Amphibians,2009,0.0490410671358055,0.0145519091320516,0.152203508881017
Amphibians,2010,0.0486598482909386,0.0149546729236971,0.15202951388318
Amphibians,2011,0.0467773592159287,0.014043831510067,0.150799320900688
Amphibians,2012,0.0429743961989212,0.0129150989880879,0.13668567842174
Amphibians,2013,0.0389396061425166,0.011444630150817,0.127716684817638
Amphibians,2014,0.0295786106753989,0.0076660575674017,0.0997680135292935
Amphibians,2015,0.0324805352239425,0.0086973767264378,0.106957675693035
